typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","287","10. Personal, cultural, and recreational services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","153641731.963",,"153641731.963","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","291","11. Government services, n.i.e.","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","236340114.24",,"236340114.24","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","16619039861.967",,"16619039861.967","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","205","1. Transportation","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4068458769.281",,"4068458769.281","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","236","2. Travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4950350025.1",,"4950350025.1","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","245","3. Communications services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","334833609.796",,"334833609.796","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","249","4. Construction services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","994029.176",,"994029.176","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","253","5. Insurance services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1305279288.25",,"1305279288.25","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","260","6. Financial services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","455696760.219",,"455696760.219","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","262","7. Computer and information services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1481321581.92",,"1481321581.92","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","266","8. Royalties and license fees","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1896613476.83",,"1896613476.83","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","268","9. Other business services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1849633707.65",,"1849633707.65","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","287","10. Personal, cultural, and recreational services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","138633047.802",,"138633047.802","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","EB02","EB02","false","291","11. Government services, n.i.e.","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","137225565.931",,"137225565.931","0","true","false",
