Fecha (dd/mm/aaaa) ,Clasificación de la Entidad,Clase de Cuenta,Orden,Cuenta,Tasa (%),Monto (COP)
05/21/2008,Total establecimientos,CDT,113,A 360 días,9.3390176689432,14129.13949
05/22/2008,Total establecimientos,CDT,107,A 90 días,9.12684676519564,70672.67449
05/22/2008,Total establecimientos,CDT,111,A 180 días,8.90343624088834,30222.47212
05/22/2008,Total establecimientos,CDT,113,A 360 días,8.56430964605443,8062.61292
05/23/2008,Total establecimientos,CDT,107,A 90 días,9.72112247795659,88123.36362
05/23/2008,Total establecimientos,CDT,111,A 180 días,9.10321593946707,32750.91726
05/23/2008,Total establecimientos,CDT,113,A 360 días,7.34742766989053,5689.66209
05/27/2008,Total establecimientos,CDT,107,A 90 días,9.91409813891641,187888.11157
05/27/2008,Total establecimientos,CDT,111,A 180 días,9.59150765137258,68729.98527
05/27/2008,Total establecimientos,CDT,113,A 360 días,9.20619509134622,15349.87965
05/28/2008,Total establecimientos,CDT,107,A 90 días,9.86381199276669,161864.32878
05/28/2008,Total establecimientos,CDT,111,A 180 días,9.75554247656268,64315.10813
05/28/2008,Total establecimientos,CDT,113,A 360 días,9.15683314285763,12723.81355
05/29/2008,Total establecimientos,CDT,107,A 90 días,9.66911118482173,147783.92566
05/29/2008,Total establecimientos,CDT,111,A 180 días,8.98052099790087,40388.5596
05/29/2008,Total establecimientos,CDT,113,A 360 días,7.81632591288859,7542.43686
05/30/2008,Total establecimientos,CDT,107,A 90 días,9.16308346205359,50023.33934
05/30/2008,Total establecimientos,CDT,111,A 180 días,9.38041508390597,38795.60502
05/30/2008,Total establecimientos,CDT,113,A 360 días,6.88956839791405,6420.20438
06/03/2008,Total establecimientos,CDT,107,A 90 días,9.17633453508027,115954.50308
06/03/2008,Total establecimientos,CDT,111,A 180 días,9.75039957658916,88208.54349
06/03/2008,Total establecimientos,CDT,113,A 360 días,8.96853565724757,13324.11492
06/04/2008,Total establecimientos,CDT,107,A 90 días,9.34654423129901,73662.12718
06/04/2008,Total establecimientos,CDT,111,A 180 días,9.77754525116182,56466.94607
06/04/2008,Total establecimientos,CDT,113,A 360 días,9.46164698223731,10395.65825
06/05/2008,Total establecimientos,CDT,107,A 90 días,9.15460858797056,74347.55135
06/05/2008,Total establecimientos,CDT,111,A 180 días,10.0615840234794,101248.76401
06/05/2008,Total establecimientos,CDT,113,A 360 días,8.49365640478797,11320.94314
06/06/2008,Total establecimientos,CDT,107,A 90 días,8.46450305406953,46784.26469
06/06/2008,Total establecimientos,CDT,111,A 180 días,9.10847386195475,32170.36169
