DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112339,2,,1,1,2,1,1,1,1,1,3,1,1,940.10724587
112340,2,,1,1,2,1,1,1,1,1,3,2,1,802.06917922
112341,2,,1,1,2,1,1,1,1,1,3,2,1,821.91762519
112342,2,,1,1,2,1,1,2,1,2,,2,1,579.05522122
112343,2,,1,1,1,1,1,1,1,1,3,2,1,821.91762519
112344,2,,1,1,1,1,1,2,1,2,,2,1,661.97353258
112345,2,,1,1,1,1,1,1,1,1,3,2,1,947.17189259
112346,2,,1,1,2,1,1,1,1,1,3,2,1,992.20802088
112347,2,,1,1,1,1,1,1,1,1,3,2,1,1068.6625293
112348,2,,1,1,1,1,1,2,2,2,,2,1,498.1908754
112349,2,,1,1,1,1,1,2,1,2,,2,1,505.51501279
112350,2,,1,1,1,1,1,2,1,2,,2,1,655.52378685
112351,2,,1,1,1,1,3,1,1,1,3,1,1,531.90632331
112352,2,,1,1,1,1,3,1,1,1,3,1,1,832.27495684
112353,2,,1,1,1,1,3,1,1,1,3,1,1,697.65806983
112354,2,,1,1,1,1,1,2,1,1,3,2,1,831.19390123
112355,2,,1,1,1,1,1,2,1,1,3,2,1,626.77244166
112357,2,,1,1,1,1,3,1,1,1,3,1,1,819.40473357
112358,2,,1,1,1,1,1,2,1,1,3,2,1,519.8596532
112359,2,,1,1,2,1,3,1,1,1,3,1,1,740.34969631
112360,2,,1,1,1,1,1,2,1,1,3,2,1,519.8596532
112361,2,,1,1,2,1,3,1,1,1,3,1,1,849.54691575
112362,2,,1,1,1,1,1,1,1,1,3,2,1,600.26242837
112363,2,,1,1,1,1,1,1,1,1,3,2,1,643.09779131
112364,2,,1,1,2,1,3,1,1,1,3,1,1,517.25642634
112365,2,,1,1,1,1,1,1,1,1,3,2,1,638.06986448
112366,2,,1,1,1,1,1,1,1,1,3,2,1,738.62890769
112367,2,,1,1,2,1,3,1,1,1,3,1,1,832.27495684
112368,2,,1,1,2,1,3,1,1,1,3,1,1,780.87252131
