Orden,Cuentas,Valor,Unidad de medida y moneda,Fecha (Año),Estados de la informacion,Periodicidad,Trimestre
1,    1 Cuenta corriente,-4426.374178,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-5055.773282,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-3928.153184,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-12586.561575,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Anual,
1,    1 Cuenta corriente,-3524.790359,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-2794.416791,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-3601.142148,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-2666.212277,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-9924.365517,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Anual,
1,    1 Cuenta corriente,-3489.521778,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-2425.556448,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-2560.648281,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-1448.63901,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-14040.960762,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Anual,
1,    1 Cuenta corriente,-3022.552034,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-3470.930068,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-3406.018548,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-4141.460112,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-14808.667964,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Anual,
1,    1 Cuenta corriente,-3820.355143,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-3218.923301,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-4302.645383,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-3466.744137,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-9266.813487,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Anual,
